model,wasserstein,kl_divergence,hellinger,mmd,nll,sampling_rate_samples_per_s,sampling_time_s,training_time_s,peak_gpu_mem_mb
Conditional RealNVP,0.05553159649615538,0.028333485345861612,0.10819784820779955,-0.0002688169479370117,0.8659607172012329,3117575.4574453626,0.009952605934813619,870.4148112419061,37.27104
Conditional DDPM,2.819359261181197,0.00016115658443816017,0.008976393064481019,-1.5497207641601562e-05,,820.393683670934,37.82086651516147,574.8482537821401,180.405248
