model,wasserstein,kl_divergence,hellinger,mmd,nll,sampling_rate_samples_per_s,sampling_time_s,training_time_s,peak_gpu_mem_mb
Conditional RealNVP,0.049648766042624734,0.025448202309927802,0.10100935945458932,-0.00016987323760986328,0.8659113645553589,961037.8564349182,0.03228592900086369,2264.702257004,112.72704
Conditional DDPM,0.4143775077472631,0.0002902075966412488,0.0120443869494846,-0.00015211105346679688,,4295.63237490031,7.223150701000122,706.5298548810006,180.36224
